query,case,system,run,seconds,rows,min_votes,note
q1_shortest_path,q1_distanza_2,neo4j,7,0.002144,1,100,
q1_shortest_path,q1_distanza_2,postgresql,8,0.037690,1,100,
q1_shortest_path,q1_distanza_2,neo4j,8,0.000868,1,100,
q1_shortest_path,q1_distanza_2,postgresql,9,0.036201,1,100,
q1_shortest_path,q1_distanza_2,neo4j,9,0.002617,1,100,
q1_shortest_path,q1_distanza_2,postgresql,10,0.039354,1,100,
q1_shortest_path,q1_distanza_2,neo4j,10,0.000822,1,100,
q1_shortest_path,q1_distanza_3,postgresql,1,1.023321,1,100,
q1_shortest_path,q1_distanza_3,neo4j,1,0.002356,1,100,
q1_shortest_path,q1_distanza_3,postgresql,2,0.997491,1,100,
q1_shortest_path,q1_distanza_3,neo4j,2,0.001505,1,100,
q1_shortest_path,q1_distanza_3,postgresql,3,1.000982,1,100,
q1_shortest_path,q1_distanza_3,neo4j,3,0.002289,1,100,
q1_shortest_path,q1_distanza_3,postgresql,4,0.998929,1,100,
q1_shortest_path,q1_distanza_3,neo4j,4,0.001109,1,100,
q1_shortest_path,q1_distanza_3,postgresql,5,1.004809,1,100,
q1_shortest_path,q1_distanza_3,neo4j,5,0.002125,1,100,
q1_shortest_path,q1_distanza_3,postgresql,6,1.010064,1,100,
q1_shortest_path,q1_distanza_3,neo4j,6,0.001471,1,100,
q1_shortest_path,q1_distanza_3,postgresql,7,1.018035,1,100,
q1_shortest_path,q1_distanza_3,neo4j,7,0.002460,1,100,
q1_shortest_path,q1_distanza_3,postgresql,8,1.014508,1,100,
q1_shortest_path,q1_distanza_3,neo4j,8,0.001150,1,100,
q1_shortest_path,q1_distanza_3,postgresql,9,1.032929,1,100,
q1_shortest_path,q1_distanza_3,neo4j,9,0.002674,1,100,
q1_shortest_path,q1_distanza_3,postgresql,10,1.014248,1,100,
q1_shortest_path,q1_distanza_3,neo4j,10,0.000968,1,100,
q1_shortest_path,q1_distanza_4,postgresql,1,4.449816,1,100,
q1_shortest_path,q1_distanza_4,neo4j,1,0.002386,1,100,
q1_shortest_path,q1_distanza_4,postgresql,2,4.491586,1,100,
q1_shortest_path,q1_distanza_4,neo4j,2,0.001492,1,100,
q1_shortest_path,q1_distanza_4,postgresql,3,4.490424,1,100,
q1_shortest_path,q1_distanza_4,neo4j,3,0.002300,1,100,
q1_shortest_path,q1_distanza_4,postgresql,4,4.493842,1,100,
q1_shortest_path,q1_distanza_4,neo4j,4,0.001474,1,100,
q1_shortest_path,q1_distanza_4,postgresql,5,4.486929,1,100,
q1_shortest_path,q1_distanza_4,neo4j,5,0.002384,1,100,
q1_shortest_path,q1_distanza_4,postgresql,6,4.502931,1,100,
q1_shortest_path,q1_distanza_4,neo4j,6,0.001258,1,100,
q1_shortest_path,q1_distanza_4,postgresql,7,4.505560,1,100,
q1_shortest_path,q1_distanza_4,neo4j,7,0.002434,1,100,
q1_shortest_path,q1_distanza_4,postgresql,8,4.439106,1,100,
q1_shortest_path,q1_distanza_4,neo4j,8,0.001528,1,100,
q1_shortest_path,q1_distanza_4,postgresql,9,4.523762,1,100,
q1_shortest_path,q1_distanza_4,neo4j,9,0.003042,1,100,
q1_shortest_path,q1_distanza_4,postgresql,10,4.468844,1,100,
q1_shortest_path,q1_distanza_4,neo4j,10,0.001572,1,100,
q2_most_connected,q2_most_connected,postgresql,1,7.290046,10,100,
q2_most_connected,q2_most_connected,neo4j,1,2.049540,10,100,
q2_most_connected,q2_most_connected,postgresql,2,7.393555,10,100,
q2_most_connected,q2_most_connected,neo4j,2,2.085493,10,100,
q2_most_connected,q2_most_connected,postgresql,3,7.231288,10,100,
q2_most_connected,q2_most_connected,neo4j,3,2.042691,10,100,
q2_most_connected,q2_most_connected,postgresql,4,7.177529,10,100,
q2_most_connected,q2_most_connected,neo4j,4,1.989592,10,100,
q2_most_connected,q2_most_connected,postgresql,5,7.452289,10,100,
q2_most_connected,q2_most_connected,neo4j,5,2.053127,10,100,
q2_most_connected,q2_most_connected,postgresql,6,7.373714,10,100,
q2_most_connected,q2_most_connected,neo4j,6,2.012276,10,100,
q2_most_connected,q2_most_connected,postgresql,7,7.472830,10,100,
q2_most_connected,q2_most_connected,neo4j,7,2.080889,10,100,
q2_most_connected,q2_most_connected,postgresql,8,7.442690,10,100,
q2_most_connected,q2_most_connected,neo4j,8,1.996182,10,100,
q2_most_connected,q2_most_connected,postgresql,9,7.229743,10,100,
q2_most_connected,q2_most_connected,neo4j,9,2.092085,10,100,
q2_most_connected,q2_most_connected,postgresql,10,7.255755,10,100,
q2_most_connected,q2_most_connected,neo4j,10,1.986875,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,1,0.024946,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,1,0.057789,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,2,0.022743,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,2,0.057455,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,3,0.023334,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,3,0.057738,10,100,
q3_genre_by_decade,q3_genre_by_decade,postgresql,4,0.022992,10,100,
q3_genre_by_decade,q3_genre_by_decade,neo4j,4,0.057431,10,100,
